System On Chip (SoC);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Constructor;Target;Name;Gravure;Modem;Peak download speed;Peak upload speed;Bluetooth;NFC;USB;Camera support max.;Video capture max.;Video playback max.;Display max.;CPU;CPU cores number;CPU clock speed max.;CPU architecture;GPU;GPU API support;AI support;
MediaTek;smartphone;Helio X30;10 nm;?;600 Mbps;100 Mbps;?;?;?;?;?;4K;?;ARM Cortex A73 , ARM Cortex A53;2 + 8;2.5 GHz , 1.9 GHz – 2.2 GHz;?;?;?;no;
Huawei;smartphone;Kirin 950;?;?;600 Mbps;150 Mbps;?;?;?;?;?;?;?;ARM Cortex-A73 , ARM Cortex A53;4 + 4;?;?;ARM Mali T880;Vulkan , OpenGL ES , Direct X 12;no;
Huawei;smartphone;Kirin 960;?;?;600 Mbps;150 Mbps;?;?;?;?;?;?;?;ARM Cortex A73 , ARM Cortex A53;4 + 4;2.3 GHz , 1.8 GHz;?;ARM Mali G71 MP8;Vulkan;no;
Huawei;smartphone;Kirin 970;10 nm;?;1.2 Gbps;?;?;?;?;?;?;?;?;ARM Cortex-A73 , ARM Cortex A3;4 + 4;2.4 GHz , 1.8 GhZ;?;ARM Mali G72 MP12;?;Neural Processing Unit;
Huawei;smartphone;Kirin 980;7 nm;?;1.4 Gbps;?;;?;?;?;?;?;?;Cortex A76 , Cortex A 76 , Cortex A55;2 + 2 + 4;2.6 GHz , 1.92 GHz , 1.8 GHz;64 bits;ARM Mali G76;?;Neural Processing Unit (dual);
Spreadtrum;smartphone;SC9861G-IA;?;?;300 Mbps;100 Mbps;?;?;?;26 MP;?;?;1600 x 2560 px , Quad HD;?;8;2 GHz;?;?;?;no;
Xiaomi;smartphone;Surge S1;28 nm;Modem of Xiaomi;?;?;?;?;?;?;?;?;?;ARM Cortex A53 , ARM Cortex A53;4 + 4;2.2 GHz , 1.4 GHz;?;ARM Mali T860;?;no;
Google;smartphone / tablet;Tensor G3;4 nm;Based on Exynos 5300;?;?;?;?;?;?;?;?;?;Cortex-X3 , Cortex-A715, Cortex-A510;1 + 4 + 4;2,910 GHz, 2,370 GHz, 1.7 GHz;?; ARM Mali-G715 ;?;?;
;;;;;;;;;;;;;;;;;;;;Google Neural TPU;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
