Devices;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;WARNING: Following symbols ';' are here so as to force Excel to add ';' at the end of each line. Without final ';' the JSON generation will fail. Need to find a solution for this CSV-export issue.
Type;OS;Constructor;Name;Screen size;Screen type;Screen resolution;SoC;GPU;Sensors;Battery;Storage;RAM;Camera;Dimensions;Weight;IP;USB Type;SD Card;SIM;UI;;
smartphone;Android;LG;Pixel 2 XL;6’’;P-OLED;1440 x 2880 px = WQHD+;Qualcomm Snpadragon 835;Qualcomm Adreno 540;Hall , Daydream ready , proxmity , light , accelerometer , compass , gyroscope , barometer , fingerprint , Bluetooth 5.0, WiFi , GPS , Glonass;3520 mAh , Li-ion;64 GB , 128 GB;4 GB;CMOS    f/1.8    12.19 MP    (back) , 8.04 MP    (front);157.9 x 76.7 x 7.9 mm;175 g;IP 67;3.1 , C;no;nano;?;;
smartphone;Android;Samsung;Galaxy S6;5.1'';Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 7420;ARM Mali-T760 MP8;heart sensor, Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;2550 mAh , Li-Ion;32 GB , 64 GB , 128 GB;3 GB;Sony IMX240 RS Exmor    CMOS    f/1.9    5.9 x 3.35 mm    1.12 µm    15.87 MP    (back) , 8.29 MP    (front);143.4 x 70.5 x 6.8 mm;138 g;no;2.0 , micro-B;no;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy S7 Edge;5.5'';Corning Gorilla Glass 4 , Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 8890;ARM Mali-T880 MP12;heart rate , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3600 mAh , Li-Ion;32 GB , 64 GB , 128 GB;4 GB;Sony Exmor IMX260 RS    CMOS   f/1.7    12.19 MP    (back) , 5.04 MP     (front);150.9 x 72.6 x 7.7 mm;157 g;IP 68;micro-B;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy S7;5.1'';Corning Gorilla Glass 4 , Super AMOLED;1440 x 2560 px = Quad HD;Samsung Exynos 8890;ARM Mali-T880 MP12;heart rate , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 5.04 MP    (front);142.4 x 69.6 x 7.9 mm;152 g;IP 68;micro-B;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy Note 7;5.7'';Corning Gorilla Glass 5 , Super AMOLED;Quad HD;Samsung Exynos 8890;?;iris scanner , Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3500 mAh;?;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 5.04 MP    (front);153.5 x 73.9 x 7.9 mm;168 g;IP 68;C;?;?;TouchWiz;;
smartphone;Android;Samsung;Galaxy J7 (2017);5.5’’;Super AMOLED;1080 x 1920 px = Full HD;Samsung Exynos 7870;ARM Mali-T830 MP2;?;3600 mAh , Li-Ion;16 GB;3 GB;?;152.4 x 74.7 x 7.9 mm;?;IP 54;C;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy A5 (2017);5.2’’;Super AMOLED;1080 x 1920 px = Full HD;Samsung Exynos 7880;ARM Mali-T860 MP4;?;3000 mAh , Li-Polymer;32 GB;3 GB;?;146.1 x 71.4 x 7.9 mm;159 g;IP 68;2.0 , C;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy A8;5.6’’;Super AMOLED;1080 x 2220 px;Samsung Exynos 7 Octa 7885;ARM Mali-G71;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5 , NFC , GPS , GLONASS , BeiDou , A-GPS , Wi-Fi a b g n ac;3000 mAh , Li-Polymer;32 GB , 64 GB;4 GB;CMOS    f/1.7    15.93 MP    (back) , 15.83 MP    (front);149.2 x 70.6 x 8.4 mm;172 g;IP 68;2.0 , C;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy S8;5.8’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 8 (Qualcomm Snapdragon 835 (USA));ARM Mali-G71 MP20;Hall sensor , heart rythm , fingerprint , face scanner , iris scanner , barometer , gyroscope , compass , accelerometer , light sensor , proximitry sensor , Bluetooth 5.0 , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;64 GB;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 7.99 MP    (front);148.9 x 68.1 x 8 mm;155 g;IP 68;3.1 , C;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy S8+;6.2’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 8 (Qualcomm Snapdragon 835 (USA));ARM Mali-G71 MP20;Hall sensor , heart rythm , fingerprint , face scanner , iris scanner , barometer , gyroscope , compass , accelerometer , light sensor , proximitry sensor , Bluetooth 5.0 , NFC , GPS , Wi-Fi;3500 mAh , Li-Polymer;64 GB;4 GB;Sony Exmor IMX260 RS    CMOS    f/1.7    12.19 MP    (back) , 7.99 MP    (front);159.5 x 73.4 x 8.1 mm;173 g;IP 68;3.1 , C;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy S9;5.8’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 9 9810;ARM Mali-G72 MP18;Hall sensor , heart rythm , fingerprint , face scanner , iris scanner , barometer , gyroscope , compass , accelerometer , light sensor , proximitry sensor , Bluetooth 5.0 , NFC , GPS , Wi-Fi (a,b,c,g,n,ac);3000 mAh , Li-Polymer;64 GB , 128 GB , 256 GB;4 GB;Sony Exmor IMX345 RS    CMOS    f/1.5-2.4    12.19 MP    (back) , 7.99 MP    (front);147.7 x 68.7 x 8.5mm;163g;IP 68;3.1 , C;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy S9+;6.2’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 9 9810;ARM Mali-G72 MP18;Hall sensor , heart rythm , fingerprint , face scanner , iris scanner , barometer , gyroscope , compass , accelerometer , light sensor , proximitry sensor , Bluetooth 5.0 , NFC , GPS , Wi-Fi (a,b,c,g,n,ac);3500 mAh , Li-Polymer;64 GB , 128 GB , 256 GB;6 GB;Sony Exmor IMX345 RS    CMOS    f/1.5-2.4    12.19 MP    (back) , 7.99 MP    (front);158.1 x 73.8 x 8.5 mm;189 g;IP 68;3.1 , C;microSD;nano;TouchWiz;;
tablet;Android;Samsung;Galaxy Tab S3;9.7’’;Super AMOLED;1536 x 2048 , QXGA;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth  , GPS , Wi-Fi;6000 mAh , Li-Polymer;32 GB;4 GB;CMOS    f/1.9    12.98 MP    (back) , 5.04 MP    (front);237,3 x 169 x 6 mm;434 g;no;3.1 , C;microSD;nano;TouchWiz;;
smartphone;Android;Samsung;Galaxy Note 8;6.3’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 9 8895;ARM Mali-G71 MP20;Hall sensor , heart , fingerprint , proximity , light , accelerometer , compass , gyroscope , barometer , Bluetooth  , GPS , Wi-Fi;3300 mAh , Li-Polymer;64 GB , 128 GB , 256 GB;6 GB;CMOS    f/1.7    12.19 MP    (back) , 7.99 MP    (front);162.5 x 74.8 x 8.6 mm;195g;IP 68;3.1 , C;microSD;nano;Grace UX;;
smartphone;Android;Samsung;Galaxy Note 9;6.4’’;Corning Gorilla Glass 5 , Super AMOLED;1440 x 2960 px = Quad HD;Samsung Exynos 9 9810;ARM Mali-G72 MP18;Hall sensor , heart rate , iris sensor , fingerprint , proximity , light , accelerometer , compass , gyroscope , barometer , Bluetooth 5.0 , GPS , GLONASS , BeiDou , Galileo , Wi-Fi a b c n ac;4000 mAh , Li-Polymer;128 GB , 512 GB;6 GB , 8 GB;Samsung SAK2L3    ISOCELL    f/1.5 – 2.4    12.19 MP + 12 MP    (back) , 8 MP    (front);161.9 x 76.4 x 8.8 mm;201 g;IP 68;3.1 , C;mciroSD;nano;Experience 9.x;;
smartphone;Android;HTC;10;5.2'';Super LCD 5;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Tango ready , Daydream ready , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5 , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;32 GB , 64 GB;4 GB;Sony Exmor IMX377 R    CMOS BSI    6.25x4.65 mm    1.55 µm    f/1.8    12.19 MP    (back) , 5.04 MP     (front);145.9 x 71.9 x 9 mm;161 g;IP 53;3.1 , C;no;nano;Sense UI;;
smartphone;Android;HTC;U Ultra;5.7'';Corning Gorilla Glass 5 , Super LCD 5;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 821;Qualcomm Adreno 530;fingerprint , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;64 GB , 128 GB;4 GB;Sony Exmor IMX378 R    CMOS    f/1.8    12.29 MP    (back) , 15.93 MP    (front);162.41 x 79.79 x 7.99 mm;170 g;no;3.1 , C;microSD;nano , nano;Sense UI;;
smartphone;Android;HTC;U Play;5.2'';Corning Gorilla Glass , Super LCD;1080 x 1920 px = Full HD;MediaTek Helio P10;ARM Mali-T860 MP2;fingerprint , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;2500 mAh , Li-Polymer;32 GB , 64 GB;3 GB;CMOS BSI    f/2.0    15.93 MP    (back) , 15.93 MP    (front);145.99 x 72.9 x 7.99 mm;145 g;no;2.0 , C;microSD;nano , nano;Sense UI;;
smartphone;Android;HTC;U 11;5.5’’;Corning Gorilla Glass 5 , IPS , Super LCD 5;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 835;Qualcomm Adreno 540;side frame sensor , fingerprint , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;3000 mAh , Li-Polymer;64 GB , 128 GB;4 GB , 6 GB;Sony IMX362 Exmor RS    CMOS    f/1.7    12.19 MP    (back) ,    16.28 MP (front);153.9 x 75.9 x 7.9 mm;169 g;IP 67;3.1 , C;microSD;nano , nano;Sense UI;;
smartphone;Android;LG;G5;5.3'';IPS;1440 x 2560 px = Quad HD;Qualcomm Snapdragon 820;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;2800 mAh , Li-Ion;32 GB;4 GB;CMOS    5.95x3.35 mm    1.12 µm    f/1.8    15.87 MP    (back) , 7.99 MP    (front);149.4 x 73.9 x 7.7 mm;159 g;no;3.0 , C;no;nano;Optimus UI;;
smartphone;Android;LG;G6;5.7’’;IPS;1440 x 2880 px = QH +;Qualcomm Snapdragon 821;Qualcomm Adreno 530;Hall sensor , fingerprint , proximity , light , accelerometer , compass  , Bluetooth , NFC , GPS , Wi-Fi;3300 mAh , Li-Ion;32 GB , 64 GB;4 GB;Sony IMX 258 Exmor TS    CMOS    1.133 µm    f/1.8    12.98 MP    (back) , 5.04 MP    (front);148.9 x 71.9 x 7.9 mm;163 g;IP 68;3.1 , C;microSD;nano;UX 6.0;;
smartphone;Android;LG;X Venture;5.2’’;IPS;1080 x 1920 px = Full HD;Qualcomm Snapdragon 435;Qualcomm Adreno 505;fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth , NFC , GPS , Wi-Fi;4100 mAh , Li-Ion;32 GB;2 GB;CMOS    15.87 MP    (back) , 4.92 MP    (front);152.4 x 76.2 x 9.14 mm;164 g;IP 68;2.0 , micro-B;microSD;nano;UX 5.0 +;;
smartphone;Android;LG;V30;6’’;Corning Gorilla Glass 5 , OLED;1440 x 2880 px = QH +;Qualcomm Snapdragon 835;Qualcomm Adreno 540;Hall sensor , barometer , fingerprint , proximity , light , accelerometer , compass , gyroscope , Bluetooth 5.0 , NFC , GPS;3300 mAh , Li-Ion;64 GB;4 GB;Sony IMX 351 Exmor RS    CMOS    f/1.6    15.93 MP    (back) , 5.04 MP    (front);151.7 x 75.4 x 7.3 mm;158 g;IP 68;3.1 , C;microSD;nano;UX 6.0 +;;
